Age,Workclass, Final Weight, Education, Years of Education, Marital Status, Occupation, Relationship, Race, Sex, Capital Gain, Capital Loss, Hours Work per Week, Income
53.0,4,95647.0,7.0,5.0,3.0,6,1.0,2,0.0,0.0,0.0,50.0,1.0
56.0,5,303090.0,16.0,10.0,3.0,12,1.0,2,0.0,0.0,0.0,50.0,1.0
49.0,2,197371.0,9.0,11.0,3.0,3,1.0,1,0.0,0.0,0.0,40.0,2.0
55.0,4,247552.0,16.0,10.0,3.0,12,1.0,2,0.0,0.0,0.0,56.0,1.0
22.0,4,102632.0,12.0,9.0,5.0,3,2.0,2,0.0,0.0,0.0,41.0,1.0
21.0,4,199915.0,16.0,10.0,5.0,8,4.0,2,1.0,0.0,0.0,40.0,1.0
40.0,4,118853.0,10.0,13.0,3.0,4,1.0,2,0.0,0.0,0.0,60.0,1.0
30.0,4,77143.0,10.0,13.0,5.0,4,4.0,1,0.0,0.0,0.0,40.0,1.0
29.0,7,267989.0,10.0,13.0,3.0,10,1.0,2,0.0,0.0,0.0,50.0,2.0
19.0,4,301606.0,16.0,10.0,5.0,8,4.0,1,0.0,0.0,0.0,35.0,1.0
47.0,4,287828.0,10.0,13.0,3.0,4,6.0,2,1.0,0.0,0.0,40.0,2.0
20.0,4,111697.0,16.0,10.0,5.0,1,4.0,2,1.0,0.0,1719.0,28.0,1.0
31.0,4,114937.0,8.0,12.0,3.0,1,1.0,2,0.0,0.0,0.0,40.0,2.0
35.0,?,129305.0,12.0,9.0,3.0, ?,1.0,2,0.0,0.0,0.0,40.0,1.0
39.0,4,365739.0,16.0,10.0,1.0,3,2.0,2,0.0,0.0,0.0,40.0,1.0
28.0,4,69621.0,8.0,12.0,5.0,12,2.0,2,1.0,0.0,0.0,60.0,1.0
24.0,4,43323.0,12.0,9.0,5.0,8,2.0,2,1.0,0.0,1762.0,40.0,1.0
38.0,6,120985.0,12.0,9.0,3.0,3,1.0,2,0.0,4386.0,0.0,35.0,1.0
37.0,4,254202.0,10.0,13.0,3.0,12,1.0,2,0.0,0.0,0.0,50.0,1.0
46.0,4,146195.0,8.0,12.0,1.0,13,2.0,1,1.0,0.0,0.0,36.0,1.0
38.0,1,125933.0,13.0,14.0,3.0,10,1.0,2,0.0,0.0,0.0,40.0,2.0
43.0,6,56920.0,12.0,9.0,3.0,3,1.0,2,0.0,0.0,0.0,60.0,1.0
27.0,4,163127.0,9.0,11.0,3.0,1,6.0,2,1.0,0.0,0.0,35.0,1.0
20.0,4,34310.0,16.0,10.0,5.0,12,4.0,2,0.0,0.0,0.0,20.0,1.0
49.0,4,81973.0,16.0,10.0,3.0,3,1.0,4,0.0,0.0,0.0,40.0,2.0
61.0,5,66614.0,12.0,9.0,3.0,3,1.0,2,0.0,0.0,0.0,40.0,1.0
27.0,4,232782.0,16.0,10.0,5.0,12,4.0,2,1.0,0.0,0.0,40.0,1.0
19.0,4,316868.0,16.0,10.0,5.0,8,4.0,2,0.0,0.0,0.0,30.0,1.0
45.0,4,196584.0,9.0,11.0,5.0,10,2.0,2,1.0,0.0,1564.0,40.0,2.0
70.0,4,105376.0,16.0,10.0,5.0,13,3.0,2,0.0,0.0,0.0,40.0,1.0
31.0,4,185814.0,12.0,9.0,5.0,14,5.0,1,1.0,0.0,0.0,30.0,1.0
22.0,4,175374.0,16.0,10.0,3.0,8,1.0,2,0.0,0.0,0.0,24.0,1.0
36.0,4,108293.0,12.0,9.0,7.0,8,5.0,2,1.0,0.0,0.0,24.0,1.0
64.0,4,181232.0,2.0,7.0,3.0,3,1.0,2,0.0,0.0,2179.0,40.0,1.0
43.0,?,174662.0,16.0,10.0,1.0, ?,2.0,2,1.0,0.0,0.0,40.0,1.0
47.0,2,186009.0,16.0,10.0,1.0,1,5.0,2,1.0,0.0,0.0,38.0,1.0
34.0,4,198183.0,12.0,9.0,5.0,1,2.0,2,1.0,0.0,0.0,40.0,1.0
33.0,4,163003.0,10.0,13.0,5.0,4,3.0,4,1.0,0.0,0.0,40.0,1.0
21.0,4,296158.0,12.0,9.0,5.0,3,4.0,2,0.0,0.0,0.0,35.0,1.0
52.0,?,252903.0,12.0,9.0,1.0, ?,2.0,2,0.0,0.0,0.0,45.0,2.0
48.0,4,187715.0,12.0,9.0,3.0,3,1.0,2,0.0,0.0,0.0,46.0,1.0
23.0,4,214542.0,10.0,13.0,5.0,6,2.0,2,0.0,0.0,0.0,40.0,1.0
71.0,6,494223.0,16.0,10.0,6.0,12,5.0,1,0.0,0.0,1816.0,2.0,1.0
29.0,4,191535.0,12.0,9.0,1.0,3,2.0,2,0.0,0.0,0.0,60.0,1.0
42.0,4,228456.0,10.0,13.0,6.0,8,3.0,1,0.0,0.0,0.0,50.0,1.0
68.0,?,38317.0,4.0,2.0,1.0, ?,2.0,2,1.0,0.0,0.0,20.0,1.0
25.0,4,252752.0,12.0,9.0,5.0,8,5.0,2,1.0,0.0,0.0,40.0,1.0
44.0,5,78374.0,13.0,14.0,1.0,4,5.0,4,1.0,0.0,0.0,40.0,1.0
28.0,4,88419.0,12.0,9.0,5.0,4,2.0,4,1.0,0.0,0.0,40.0,1.0
45.0,6,201080.0,13.0,14.0,3.0,12,1.0,2,0.0,0.0,0.0,40.0,2.0
36.0,4,207157.0,16.0,10.0,1.0,8,5.0,2,1.0,0.0,0.0,40.0,1.0
39.0,1,235485.0,8.0,12.0,5.0,4,2.0,2,0.0,0.0,0.0,42.0,1.0
46.0,7,102628.0,13.0,14.0,7.0,11,5.0,2,0.0,0.0,0.0,40.0,1.0
18.0,4,25828.0,2.0,7.0,5.0,6,4.0,2,0.0,0.0,0.0,16.0,1.0
66.0,2,54826.0,9.0,11.0,7.0,10,2.0,2,1.0,0.0,0.0,20.0,1.0
27.0,4,124953.0,12.0,9.0,5.0,8,2.0,2,0.0,0.0,1980.0,40.0,1.0
28.0,7,175325.0,12.0,9.0,3.0,11,1.0,2,0.0,0.0,0.0,40.0,1.0
51.0,4,96062.0,16.0,10.0,3.0,12,1.0,2,0.0,0.0,1977.0,40.0,2.0
27.0,4,428030.0,10.0,13.0,5.0,3,2.0,2,0.0,0.0,0.0,50.0,1.0
28.0,7,149624.0,10.0,13.0,3.0,10,1.0,2,0.0,0.0,0.0,40.0,2.0
27.0,4,253814.0,12.0,9.0,4.0,12,5.0,2,1.0,0.0,0.0,25.0,1.0
21.0,4,312956.0,12.0,9.0,5.0,3,4.0,1,0.0,0.0,0.0,40.0,1.0
34.0,4,483777.0,12.0,9.0,5.0,6,2.0,1,0.0,0.0,0.0,40.0,1.0
18.0,4,183930.0,12.0,9.0,5.0,8,4.0,2,0.0,0.0,0.0,12.0,1.0
33.0,4,37274.0,10.0,13.0,3.0,10,1.0,2,0.0,0.0,0.0,65.0,1.0
44.0,2,181344.0,16.0,10.0,3.0,4,1.0,1,0.0,0.0,0.0,38.0,2.0
43.0,4,114580.0,16.0,10.0,1.0,1,2.0,2,1.0,0.0,0.0,40.0,1.0
30.0,4,633742.0,16.0,10.0,5.0,3,2.0,1,0.0,0.0,0.0,45.0,1.0
40.0,4,286370.0,6.0,4.0,3.0,7,1.0,2,0.0,0.0,0.0,40.0,2.0
37.0,1,29054.0,16.0,10.0,3.0,1,1.0,2,0.0,0.0,0.0,42.0,2.0
34.0,4,304030.0,12.0,9.0,3.0,1,1.0,1,0.0,0.0,0.0,40.0,1.0
41.0,6,143129.0,10.0,13.0,1.0,4,2.0,2,1.0,0.0,0.0,40.0,1.0
53.0,?,135105.0,10.0,13.0,1.0, ?,2.0,2,1.0,0.0,0.0,50.0,1.0
31.0,4,99928.0,13.0,14.0,3.0,10,6.0,2,1.0,0.0,0.0,50.0,1.0
58.0,7,109567.0,11.0,16.0,3.0,10,1.0,2,0.0,0.0,0.0,1.0,2.0
38.0,4,155222.0,16.0,10.0,1.0,7,2.0,1,1.0,0.0,0.0,28.0,1.0
24.0,4,159567.0,16.0,10.0,3.0,7,1.0,2,0.0,0.0,0.0,40.0,1.0
41.0,2,523910.0,10.0,13.0,3.0,3,1.0,1,0.0,0.0,0.0,40.0,1.0
47.0,4,120939.0,16.0,10.0,3.0,13,1.0,2,0.0,0.0,0.0,45.0,1.0
41.0,1,130760.0,10.0,13.0,3.0,13,1.0,2,0.0,0.0,0.0,24.0,1.0
23.0,4,197387.0,5.0,3.0,3.0,14,3.0,2,0.0,0.0,0.0,40.0,1.0
36.0,4,99374.0,16.0,10.0,1.0,3,2.0,2,0.0,0.0,0.0,40.0,1.0
40.0,1,56795.0,13.0,14.0,5.0,4,2.0,2,1.0,14084.0,0.0,55.0,2.0
35.0,4,138992.0,13.0,14.0,3.0,10,3.0,2,0.0,7298.0,0.0,40.0,2.0
24.0,6,32921.0,12.0,9.0,5.0,12,2.0,2,0.0,0.0,0.0,40.0,1.0
26.0,4,397317.0,13.0,14.0,5.0,10,2.0,2,1.0,0.0,1876.0,40.0,1.0
19.0,?,170653.0,12.0,9.0,5.0, ?,4.0,2,0.0,0.0,0.0,40.0,1.0
51.0,4,259323.0,10.0,13.0,3.0,4,1.0,2,0.0,0.0,0.0,50.0,2.0
42.0,2,254817.0,16.0,10.0,5.0,10,2.0,2,1.0,0.0,1340.0,40.0,1.0
37.0,7,48211.0,12.0,9.0,1.0,1,5.0,2,1.0,0.0,0.0,35.0,1.0
18.0,4,140164.0,2.0,7.0,5.0,12,4.0,2,1.0,0.0,0.0,40.0,1.0
36.0,4,128757.0,10.0,13.0,3.0,8,1.0,1,0.0,7298.0,0.0,36.0,2.0
35.0,4,36270.0,12.0,9.0,1.0,3,2.0,2,0.0,0.0,0.0,60.0,1.0
58.0,5,210563.0,12.0,9.0,3.0,12,6.0,2,1.0,15024.0,0.0,35.0,2.0
17.0,4,65368.0,2.0,7.0,5.0,12,4.0,2,1.0,0.0,0.0,12.0,1.0
44.0,2,160943.0,12.0,9.0,3.0,14,1.0,1,0.0,0.0,0.0,40.0,1.0
37.0,4,208358.0,12.0,9.0,3.0,3,1.0,2,0.0,0.0,0.0,40.0,2.0
35.0,4,153790.0,16.0,10.0,5.0,12,2.0,3,1.0,0.0,0.0,40.0,1.0
60.0,4,85815.0,12.0,9.0,3.0,3,1.0,4,0.0,0.0,0.0,40.0,1.0
54.0,5,125417.0,6.0,4.0,3.0,7,1.0,2,0.0,0.0,0.0,40.0,2.0
37.0,4,635913.0,10.0,13.0,5.0,4,2.0,1,0.0,0.0,0.0,60.0,2.0
50.0,4,313321.0,8.0,12.0,1.0,12,2.0,2,1.0,0.0,0.0,40.0,1.0
38.0,4,182609.0,10.0,13.0,3.0,12,1.0,2,0.0,0.0,0.0,50.0,1.0
45.0,4,109434.0,10.0,13.0,3.0,10,1.0,2,0.0,0.0,0.0,55.0,1.0
25.0,4,255004.0,1.0,6.0,5.0,3,2.0,2,0.0,0.0,0.0,40.0,1.0
31.0,4,197860.0,16.0,10.0,3.0,6,1.0,2,0.0,0.0,0.0,40.0,1.0
64.0,?,187656.0,4.0,2.0,1.0, ?,2.0,2,0.0,0.0,0.0,40.0,1.0
90.0,4,51744.0,12.0,9.0,5.0,8,2.0,1,0.0,0.0,2206.0,40.0,1.0
54.0,4,176681.0,12.0,9.0,3.0,1,1.0,1,0.0,0.0,0.0,20.0,1.0
53.0,2,140359.0,14.0,1.0,5.0,7,2.0,2,1.0,0.0,0.0,35.0,1.0
18.0,4,243313.0,12.0,9.0,5.0,12,4.0,2,1.0,0.0,0.0,40.0,1.0
60.0,?,24215.0,1.0,6.0,1.0, ?,2.0,3,1.0,0.0,0.0,10.0,1.0
66.0,6,167687.0,12.0,9.0,3.0,5,1.0,2,0.0,1409.0,0.0,50.0,1.0
75.0,4,314209.0,9.0,11.0,7.0,1,2.0,2,1.0,0.0,0.0,20.0,1.0
65.0,4,176796.0,12.0,9.0,1.0,1,2.0,2,1.0,0.0,0.0,40.0,1.0
35.0,4,538583.0,2.0,7.0,6.0,14,2.0,1,0.0,3674.0,0.0,40.0,1.0
41.0,4,130408.0,12.0,9.0,1.0,12,5.0,1,1.0,0.0,0.0,38.0,1.0
25.0,4,159732.0,16.0,10.0,5.0,1,2.0,2,0.0,0.0,0.0,42.0,1.0
33.0,4,110978.0,16.0,10.0,1.0,3,3.0, Other,1.0,0.0,0.0,40.0,1.0
28.0,4,76714.0,15.0,15.0,5.0,10,2.0,2,0.0,0.0,0.0,55.0,2.0
59.0,7,268700.0,12.0,9.0,3.0,8,1.0,2,0.0,0.0,0.0,40.0,1.0
40.0,7,170525.0,16.0,10.0,5.0,1,2.0,2,1.0,0.0,0.0,38.0,1.0
41.0,4,180138.0,10.0,13.0,3.0,4,1.0,2,0.0,0.0,0.0,50.0,2.0
38.0,2,115076.0,13.0,14.0,3.0,4,1.0,2,0.0,0.0,0.0,70.0,2.0
23.0,4,115458.0,12.0,9.0,5.0,14,4.0,2,0.0,0.0,0.0,40.0,1.0
40.0,4,347890.0,10.0,13.0,3.0,10,1.0,2,0.0,0.0,0.0,40.0,2.0
41.0,6,196001.0,12.0,9.0,3.0,8,6.0,2,1.0,0.0,0.0,20.0,1.0
24.0,7,273905.0,8.0,12.0,3.0,11,1.0,2,0.0,0.0,0.0,50.0,1.0
20.0,?,119156.0,16.0,10.0,5.0, ?,4.0,2,0.0,0.0,0.0,20.0,1.0
38.0,4,179488.0,16.0,10.0,1.0,3,2.0,2,0.0,0.0,1741.0,40.0,1.0
56.0,4,203580.0,12.0,9.0,3.0,1,1.0,2,0.0,0.0,0.0,35.0,1.0
58.0,4,236596.0,12.0,9.0,3.0,1,1.0,2,0.0,0.0,0.0,45.0,2.0
32.0,4,183916.0,12.0,9.0,5.0,8,2.0,2,1.0,0.0,0.0,34.0,1.0
40.0,4,207578.0,8.0,12.0,3.0,13,1.0,2,0.0,0.0,1977.0,60.0,2.0
45.0,4,153141.0,12.0,9.0,3.0,1,1.0,2,0.0,0.0,0.0,40.0,1.0
41.0,4,112763.0,15.0,15.0,3.0,10,6.0,2,1.0,0.0,0.0,40.0,2.0
42.0,4,390781.0,10.0,13.0,3.0,1,6.0,1,1.0,0.0,0.0,40.0,1.0
59.0,2,171328.0,1.0,6.0,7.0,8,5.0,1,1.0,0.0,0.0,30.0,1.0
19.0,2,27382.0,16.0,10.0,5.0,1,4.0,2,0.0,0.0,0.0,40.0,1.0
58.0,4,259014.0,16.0,10.0,5.0,14,2.0,2,0.0,0.0,0.0,20.0,1.0
42.0,6,303044.0,12.0,9.0,3.0,5,1.0,4,0.0,0.0,0.0,40.0,2.0
20.0,4,117789.0,12.0,9.0,5.0,8,4.0,2,1.0,0.0,0.0,40.0,1.0
32.0,4,172579.0,12.0,9.0,6.0,8,2.0,2,1.0,0.0,0.0,30.0,1.0
45.0,4,187666.0,9.0,11.0,7.0,4,2.0,2,1.0,0.0,0.0,45.0,1.0
50.0,4,204518.0,6.0,4.0,1.0,3,2.0,2,0.0,0.0,0.0,40.0,1.0
36.0,4,150042.0,10.0,13.0,1.0,10,4.0,2,1.0,0.0,0.0,40.0,1.0
45.0,4,98092.0,12.0,9.0,3.0,12,1.0,2,0.0,0.0,0.0,60.0,1.0
17.0,4,245918.0,2.0,7.0,5.0,8,4.0,2,0.0,0.0,0.0,12.0,1.0
59.0,4,146013.0,16.0,10.0,3.0,12,1.0,2,0.0,4064.0,0.0,40.0,1.0
26.0,4,378322.0,2.0,7.0,3.0,3,1.0,2,0.0,0.0,0.0,40.0,1.0
37.0,5,257295.0,16.0,10.0,3.0,4,1.0,4,0.0,0.0,0.0,75.0,2.0
19.0,?,218956.0,16.0,10.0,5.0, ?,4.0,2,0.0,0.0,0.0,24.0,1.0
64.0,4,21174.0,12.0,9.0,3.0,4,1.0,2,0.0,0.0,0.0,40.0,2.0
33.0,4,185480.0,10.0,13.0,5.0,10,2.0,2,1.0,0.0,0.0,45.0,1.0
33.0,4,222205.0,12.0,9.0,3.0,3,6.0,2,1.0,0.0,0.0,40.0,2.0
